NAME_LAT,KOATUU_RAY,longitude,latitude,KOATUU
Bahachka,4425400000,38.38,49.983,4425481001
Hrechyshkyne,4423100000,38.906,48.869,4423181201
Lysychansk,4411800000,38.377,48.935,4411800000
Novodarivka,4412300000,39.49,48.081,4412346900
Sadky,4425100000,39.252,49.306,4425184801
Donetskyi,4411000000,38.674,48.698,4411045300
Novotoshkivske,4411000000,38.631,48.725,4411045500
Svystunivka,4424000000,38.324,49.481,4424087501
Svitle,4425100000,38.654,49.377,4425185001
Baidivka,4425100000,38.922,49.163,4425180101
Svatove,4424000000,38.156,49.414,4424010100
Sverdlovsk,4412700000,39.657,48.076,4412700000
Koshary,4420300000,39.258,48.11,4420383001
Krasnolutskyi,4420300000,38.995,48.144,4420383301
Shulhynka,4425100000,38.928,49.143,4425187501
Kalininskyi,4412700000,39.594,48.017,4412745700
Osynove,4423300000,39.073,49.55,4423384701
Novodruzhesk,4411800000,38.345,48.963,4411870400
Spivakivka,4423100000,38.901,49.046,4423187501
Matviivka,4424200000,39.562,48.037,4424284401
Shakhtarske,4412700000,39.554,48.054,4412746900
Miusynsk,4411600000,38.899,48.076,4411670600
Novovodiane,4421600000,38.025,49.271,4421684501
Novohannivka,4421400000,39.518,48.426,4421485501
Mykhailivka,4412300000,39.242,48.07,4412346400
Krasnyi Luch,4411600000,38.926,48.138,4411600000
Novoznamianka,4425400000,38.118,49.882,4425483201
Rovenky,4412300000,39.386,48.084,4412300000
Dzerzhynskyi,4412300000,39.43,48.039,4412345800
Chervona Poliana,4420300000,39.099,48.241,4420387701
Rohove,4423300000,39.04,49.626,4423387001
Tarasivka,4425400000,38.391,49.664,4425486501
Pavlenkove,4423300000,39.082,49.707,4423385301
Prostore,4420900000,38.495,49.651,4420987701
Prosiane,4422500000,39.663,49.593,4422587701
Stelmakhivka,4424000000,37.906,49.466,4424087801
Teple,4424800000,39.427,48.836,4424885501
Toshkivka,4412100000,38.57,48.78,4412145700
Artemivsk,4423600000,38.719,48.439,4423610300
Lotykove,4424500000,38.916,48.523,4424555600
Raihorodka,4423100000,39.069,48.831,4423186701
Shchastia,4410100000,39.229,48.74,4410161400
Avdiivka,1410200000,37.741,48.149,1410200000
Amvrosiivka,1420600000,38.483,47.79,1420610100
Yasynuvata,1415500000,37.861,48.129,1415500000
Staromykhailivka,1423300000,37.586,47.996,1423356200
Serdyte,1415300000,38.388,48.04,1415346000
Kalinine,1421500000,37.467,47.458,1421583001
Khlibodarivka,1421500000,37.399,47.48,1421588001
Shevchenko,1421200000,36.676,47.899,1421286601
Mariupol,1412300000,37.561,47.126,1412300000
Andriivka,1414400000,38.751,48.103,1414445300
Marinka,1423300000,37.509,47.943,1423310100
Sieverne,1414400000,38.685,48.086,1414448000
Siedove,1423600000,38.158,47.073,1423655400
Kirovske,1421500000,37.404,47.427,1421583101
Telmanove,1424800000,38.019,47.41,1424855100
Siversk,1420900000,38.094,48.865,1420910400
Sloviansk,1414100000,37.596,48.85,1414100000
Torez,1414700000,38.628,48.037,1414700000
Artema,1422400000,37.608,48.483,1422481001
Ukrainsk,1413800000,37.363,48.095,1413870900
Khartsyzk,1415000000,38.145,48.041,1415000000
Starobesheve,1424500000,38.029,47.752,1424555100
Vilne,1421500000,37.184,47.53,1421581301
Udachne,1422700000,36.989,48.239,1422756300
Tsukuryne,1413800000,37.308,48.085,1413846500
Viroliubivka,1422400000,37.723,48.61,1422482001
Shcherbynivka,1411200000,37.79,48.394,1411247200
Ilovaisk,1415000000,38.19,47.926,1415070800
Pokrovske,1420900000,38.137,48.63,1420987501
Novooleksiivka,1421500000,37.586,47.382,1421584701
Pravdivka,1422400000,37.68,48.327,1422485501
Predtechyne,1422400000,37.817,48.524,1422485701
Kirovske,1412500000,38.36,48.146,1412500000
Bakhmutske,1420900000,38.098,48.662,1420980301
Bezzabotivka,1420300000,37.026,48.687,1420381001
Bezimenne,1423600000,37.939,47.106,1423681101
