NAME_OBL,NAME_RAY,NAME_LAT,KOATUU_OBL,KOATUU_RAY,KOATUU,longitude,latitude
Donetska,Artemivskyi,Zaitseve,1400000000,1420900000,1420983001,38.068,48.526
Donetska,Slovianskyi,Serhiivka,1400000000,1424200000,1424288201,37.376,48.668
Donetska,Oleksandrivskyi,Krynytsi,1400000000,1420300000,1420383801,37.123,48.660
Donetska,Volodarskyi,Novokrasnivka,1400000000,1421700000,1421785001,37.156,47.315
Donetska,Velykonovosilkivskyi,Piddubne,1400000000,1421200000,1421284401,36.693,48.009
Donetska,Slovianskyi,Andriivka,1400000000,1424200000,1424255300,37.567,48.818
Donetska,Dobropilskyi,Dobropillia,1400000000,1422000000,1422082201,37.050,48.420
Donetska,Volodarskyi,Zoria,1400000000,1421700000,1421781601,37.610,47.295
Donetska,Kostiantynivskyi,Zoria,1400000000,1422400000,1422482301,37.671,48.368
Donetska,Shakhtarskyi,Hrabove,1400000000,1425200000,1425281201,38.647,48.146
Donetska,Krasnoarmiiskyi,Pishchane,1400000000,1422700000,1422784501,37.111,48.234
Donetska,Volnovaskyi,Svobodne,1400000000,1421500000,1421587601,37.564,47.531
Donetska,Telmanivskyi,Svobodne,1400000000,1424800000,1424886401,38.058,47.365
Donetska,Velykonovosilkivskyi,Staromaiorske,1400000000,1421200000,1421284801,36.795,47.752
Donetska,Artemivskyi,Novohryhorivka,1400000000,1420900000,1420986001,38.418,48.365
Donetska,Krasnoarmiiskyi,Novoielyzavetivka,1400000000,1422700000,1422783801,37.044,48.137
Donetska,Shakhtarskyi,Petropavlivka,1400000000,1425200000,1425286701,38.532,48.140
Donetska,Volnovaskyi,Liubivka,1400000000,1421500000,1421583801,37.751,47.825
Donetska,Slovianskyi,Dolyna,1400000000,1424200000,1424281501,37.430,48.995
Donetska,Artemivskyi,Dronivka,1400000000,1420900000,1420982301,38.041,48.919
Donetska,Velykonovosilkivskyi,Yevhenivka,1400000000,1421200000,1421281201,37.084,47.670
Donetska,Volnovaskyi,Yehorivka,1400000000,1421500000,1421581601,37.222,47.706
Donetska,Kramatorska,Shabelkivka,1400000000,1412900000,1412947100,37.494,48.752
Donetska,Krasnoarmiiska,Shevchenko,1400000000,1413200000,1413245400,37.144,48.220
Donetska,Khartsyzka,Zuhres,1400000000,1415000000,1415070500,38.265,48.012
Donetska,Krasnoarmiiskyi,Hryshyne,1400000000,1422700000,1422781101,37.079,48.328
Donetska,Marinskyi,Katerynivka,1400000000,1423300000,1423383501,37.345,47.875
Donetska,Amvrosiivskyi,Biloiarivka,1400000000,1420600000,1420681501,38.602,47.795
Donetska,Oleksandrivskyi,Vysokopillia,1400000000,1420300000,1420382201,37.074,48.769
Donetska,Velykonovosilkivskyi,Novopetrykivka,1400000000,1421200000,1421283601,36.938,47.626
Donetska,Velykonovosilkivskyi,Staromlynivka,1400000000,1421200000,1421285201,36.825,47.694
Donetska,Volodarskyi,Starchenkove,1400000000,1421700000,1421786601,36.988,47.271
Donetska,Shakhtarskyi,Velyka Shyshivka,1400000000,1425200000,1425280501,38.514,47.975
Donetska,Volnovaskyi,Olenivka,1400000000,1421500000,1421557100,37.660,47.827
Donetska,Oleksandrivskyi,Iverske,1400000000,1420300000,1420383301,36.957,48.637
Donetska,Amvrosiivskyi,Voikovskyi,1400000000,1420600000,1420655300,38.344,47.756
Donetska,Amvrosiivskyi,Lysyche,1400000000,1420600000,1420685001,38.586,47.729
Donetska,Volnovaskyi,Volnovakha,1400000000,1421500000,1421510100,37.502,47.600
Donetska,Artemivskyi,Klynove,1400000000,1420900000,1420984501,38.157,48.558
Donetska,Volnovaskyi,Olhynka,1400000000,1421500000,1421557200,37.518,47.695
Donetska,Oleksandrivskyi,Vesela Hora,1400000000,1420300000,1420387003,37.123,48.618
Donetska,Krasnolymanskyi,Shandryholove,1400000000,1423000000,1423086501,37.726,49.095
Donetska,Velykonovosilkivskyi,Shakhtarske,1400000000,1421200000,1421286401,37.004,47.862
Donetska,Makiivska,Krynychna,1400000000,1413500000,1413567800,38.028,48.126
Donetska,Kostiantynivskyi,Illicha,1400000000,1422400000,1422482701,37.668,48.493
Donetska,Marinskyi,Krasnohorivka,1400000000,1423300000,1423310400,37.501,48.009
Donetska,Marinskyi,Kurakhove,1400000000,1423300000,1423310600,37.285,47.986
Donetska,Volodarskyi,Volodarske,1400000000,1421700000,1421755100,37.320,47.201
Donetska,Slovianskyi,Dmytrivka,1400000000,1424200000,1424281001,37.386,48.754
Donetska,Amvrosiivskyi,Blahodatne,1400000000,1420600000,1420682001,38.484,47.877
Donetska,Artemivska,Artemivsk,1400000000,1410300000,1410300000,37.995,48.597
Donetska,Volnovaskyi,Mykilske,1400000000,1421500000,1421584401,37.306,47.751
Donetska,Artemivskyi,Yakovlivka,1400000000,1420900000,1420989901,38.149,48.707
Donetska,Starobeshivskyi,Styla,1400000000,1424500000,1424587901,37.842,47.694
Donetska,Shakhtarskyi,Stepanivka,1400000000,1425200000,1425288201,38.806,47.924
Donetska,Volnovaskyi,Volodymyrivka,1400000000,1421500000,1421555600,37.400,47.721
Donetska,Snizhnianska,Hirnytske,1400000000,1414400000,1414445900,38.835,48.000
Donetska,Kramatorska,Yasnohirka,1400000000,1412900000,1412947700,37.549,48.773
Donetska,Dzerzhynska,Artemove,1400000000,1411200000,1411270300,37.894,48.367
Donetska,Dobropilska,Bilytske,1400000000,1411500000,1411570300,37.183,48.407
Donetska,Krasnoarmiiska,Rodynske,1400000000,1413200000,1413270600,37.209,48.354
Donetska,Oleksandrivskyi,Nekremenne,1400000000,1420300000,1420386701,37.134,48.819
Donetska,Shakhtarskyi,Zolotarivka,1400000000,1425200000,1425283401,38.189,48.005
Donetska,Marinskyi,Maksymilianivka,1400000000,1423300000,1423385001,37.394,47.974
Donetska,Krasnolymanskyi,Kryva Luka,1400000000,1423000000,1423082001,37.903,48.873
Donetska,Dobropilskyi,Kryvorizhzhia,1400000000,1422000000,1422084401,36.917,48.441
Donetska,Shakhtarska,Kontarne,1400000000,1415300000,1415345400,38.512,48.088
Donetska,Selydivska,Selydove,1400000000,1413800000,1413800000,37.299,48.147
Donetska,Shakhtarskyi,Dmytrivka,1400000000,1425200000,1425282301,38.948,47.950
Donetska,Starobeshivskyi,Osykove,1400000000,1424500000,1424585701,38.205,47.782
Donetska,Oleksandrivskyi,Ocheretyne,1400000000,1420300000,1420386901,37.120,48.742
Donetska,Krasnolymanskyi,Yatskivka,1400000000,1423000000,1423087601,37.522,49.179
Donetska,Amvrosiivskyi,Klenivka,1400000000,1420600000,1420684500,38.233,47.762
Donetska,Artemivskyi,Serebrianka,1400000000,1420900000,1420989201,38.133,48.920
Donetska,Telmanivskyi,Starolaspa,1400000000,1424800000,1424887101,37.983,47.560
Donetska,Yenakiivska,Korsun,1400000000,1412000000,1412046800,38.082,48.203
Donetska,Kramatorska,Krasnotorka,1400000000,1412900000,1412946200,37.528,48.681
Donetska,Selydivska,Kurakhivka,1400000000,1413800000,1413845900,37.376,48.026
Donetska,Amvrosiivskyi,Kuteinykove,1400000000,1420600000,1420655600,38.291,47.810
Donetska,Krasnolymanskyi,Rubtsi,1400000000,1423000000,1423084301,37.567,49.179
Donetska,Slovianskyi,Raihorodok,1400000000,1424200000,1424256200,37.724,48.903
Donetska,Novoazovskyi,Samiilove,1400000000,1423600000,1423686601,38.248,47.256
Donetska,Kostiantynivskyi,Markove,1400000000,1422400000,1422483701,37.791,48.654
Donetska,Slovianskyi,Maiaky,1400000000,1424200000,1424284601,37.622,48.945
Donetska,Telmanivskyi,Konkove,1400000000,1424800000,1424881901,38.170,47.330
Donetska,Novoazovskyi,Prymorske,1400000000,1423600000,1423685501,37.943,47.315
Donetska,Volnovaskyi,Prokhorivka,1400000000,1421500000,1421586401,37.672,47.528
Donetska,Krasnoarmiiskyi,Mykolaivka,1400000000,1422700000,1422783401,37.388,48.185
Donetska,Oleksandrivskyi,Myrna Dolyna,1400000000,1420300000,1420384401,36.832,48.599
Donetska,Krasnoarmiiskyi,Myroliubivka,1400000000,1422700000,1422783001,37.374,48.302
Donetska,Volodarskyi,Zelenyi Yar,1400000000,1421700000,1421781801,37.053,47.202
